id,product_id,brand,price,color,purchased,days_on_market
171975,459,samsung,240.53,silver,1,8
40627,483,samsung,280.91,silver,1,22
34353,260,apple,746.09,black,0,30
66605,626,apple,1003.85,gold,0,30
169832,420,samsung,250.97,silver,1,6
126250,372,samsung,727.69,silver,1,17
198173,420,samsung,250.69,black,0,30
58248,528,xiaomi,347.21,white,1,6
48556,26,apple,360.34,gold,1,6
160055,252,apple,1174.09,black,0,30
36648,407,xiaomi,218.25,silver,1,20
110718,616,apple,1007.97,blue,0,30
187517,426,huawei,271.46,blue,0,30
158625,393,huawei,127.38,gold,0,30
106895,120583,honor,218.77,white,1,25
153620,474,samsung,130.99,silver,1,27
21984,141155,xiaomi,257.15,gold,1,22
95910,669,xiaomi,227.6,gold,1,15
97067,22,apple,459.45,silver,1,6
28566,412,samsung,197.43,blue,0,30
113708,251,apple,1055.88,white,1,26
205649,20,apple,459.39,white,1,21
88691,474,samsung,131.64,silver,1,12
147,421,samsung,253.13,white,1,1
204287,248,apple,1086.0,silver,1,7
105290,626,apple,1003.85,silver,1,9
59637,260,apple,732.09,blue,0,30
19192,485,samsung,374.72,white,1,18
53383,20,apple,460.55,silver,1,9
92213,617,apple,1397.09,blue,0,30
195618,476,samsung,131.63,black,1,15
162123,237,apple,1004.89,blue,0,30
89584,483,samsung,284.38,gold,1,19
46091,612,samsung,153.13,white,1,4
114499,426,huawei,271.76,white,1,11
87932,20,apple,462.35,gold,0,30
2525,231,samsung,88.29,silver,1,22
139995,626,apple,969.29,black,1,27
101437,428,huawei,274.11,gold,0,30
47748,626,apple,1003.37,black,0,30
120971,56,apple,582.92,white,0,30
126275,627,apple,1084.12,silver,1,20
49992,646,apple,1747.79,blue,1,8
208484,257,apple,759.09,silver,1,21
173078,557,xiaomi,95.73,white,1,24
43039,408,xiaomi,190.22,silver,1,18
66596,260,apple,766.76,blue,0,30
177495,388,huawei,153.93,gold,0,30
29506,264,apple,817.94,gold,0,30
66945,618,apple,1541.84,black,1,14
186498,420,samsung,247.62,gold,1,20
126332,369,samsung,606.04,black,0,30
105972,27,apple,358.57,white,1,16
46931,566,huawei,95.82,black,1,1
129462,456,samsung,173.93,gold,0,30
137993,420,samsung,246.52,gold,0,30
169152,426,huawei,278.23,gold,0,30
47358,20,apple,460.02,blue,0,30
46236,474,samsung,131.53,black,1,17
101297,646,apple,1741.34,black,0,30
24908,406,xiaomi,196.13,white,1,4
209218,547,vivo,204.1,white,1,5
162201,495,nokia,89.52,black,1,9
74962,420,samsung,250.69,silver,0,30
41383,482,samsung,288.03,silver,1,7
52731,474,samsung,130.48,black,0,30
151025,482,samsung,286.22,white,1,18
56388,45089,samsung,900.64,white,1,4
28421,486,samsung,365.16,blue,1,26
101196,474,samsung,130.7,white,1,0
88185,420,samsung,246.52,white,0,30
127031,485,samsung,369.53,white,1,22
150063,612,samsung,143.4,silver,1,16
130605,485,samsung,371.67,blue,0,30
71306,531,oppo,179.25,white,1,23
210709,420,samsung,247.62,white,0,30
109068,590,vivo,281.06,silver,1,5
140009,408,xiaomi,189.97,white,1,22
204636,462,oppo,141.29,black,0,30
207695,456,samsung,172.14,white,1,18
95634,548,oppo,257.38,silver,1,2
138887,457,samsung,174.05,gold,0,30
123691,406,xiaomi,193.0,silver,1,16
87353,412,samsung,203.35,gold,0,30
191556,456,samsung,170.31,white,1,24
69013,474,samsung,131.02,white,1,20
110015,260,apple,725.08,silver,1,26
89588,260,apple,732.09,white,1,22
166576,420,samsung,250.91,black,1,10
30394,420,samsung,250.69,black,0,30
70004,492,oppo,152.87,silver,0,30
121752,457,samsung,174.32,gold,0,30
153382,66,apple,931.51,silver,0,30
154214,420,samsung,247.08,blue,0,30
176929,458,samsung,225.19,black,1,15
28209,477,samsung,170.91,blue,0,30
101107,474,samsung,130.51,silver,1,3
164000,456,samsung,170.14,white,1,26
86745,474,samsung,130.99,blue,1,27
186078,474,samsung,131.64,black,0,30
105927,431,xiaomi,473.27,white,1,7
75024,408,xiaomi,185.71,silver,1,0
138632,421,samsung,246.45,blue,0,30
136373,487,samsung,361.54,blue,0,30
207459,635,apple,1671.34,silver,1,13
137045,377,samsung,867.17,blue,0,30
119755,456,samsung,170.14,gold,0,30
107202,474,samsung,131.53,blue,0,30
165676,456,samsung,172.14,white,1,17
198482,628,apple,1181.37,black,0,30
183106,230,samsung,95.21,silver,1,1
219689,419,samsung,244.15,blue,0,30
218268,27,apple,358.57,black,1,15
48266,626,apple,975.56,silver,1,0
38837,14,apple,643.23,silver,1,13
99054,269,apple,733.61,black,1,5
71526,474,samsung,130.48,blue,0,30
195524,457,samsung,174.05,silver,1,3
144278,461,oppo,154.19,white,1,18
136970,420,samsung,250.93,white,1,8
165273,612,samsung,143.38,silver,1,16
129212,424,xiaomi,141.29,white,1,16
146145,637,apple,1425.78,silver,1,17
205672,420,samsung,244.03,gold,0,30
154380,420,samsung,251.59,white,1,5
149952,617,apple,1418.05,gold,0,30
141385,457,samsung,173.26,blue,1,16
114387,248,apple,1093.93,black,0,30
66587,11,apple,584.31,blue,0,30
22317,585,xiaomi,197.94,gold,0,30
175343,617,apple,1350.58,gold,0,30
120568,474,samsung,131.64,silver,1,12
212170,420,samsung,250.91,gold,1,9
65654,562,samsung,603.36,blue,1,6
100039,501,huawei,111.66,gold,0,30
217233,420,samsung,246.65,white,1,22
47644,281,huawei,218.54,white,1,2
111034,27,apple,358.18,gold,0,30
6152,458,samsung,223.95,gold,0,30
116751,420,samsung,246.52,black,1,24
197335,482,samsung,283.93,gold,0,30
39231,406,xiaomi,188.03,white,1,10
157274,653,apple,2033.26,white,1,22
204228,456,samsung,172.19,white,1,12
110487,474,samsung,130.48,blue,1,10
143122,252,apple,1173.29,silver,1,6
74005,611,samsung,143.12,white,1,17
177885,482,samsung,287.57,blue,0,30
211554,474,samsung,131.02,blue,0,30
149036,474,samsung,131.92,silver,1,4
68270,485,samsung,367.14,silver,1,25
35864,593,samsung,1026.32,blue,0,30
143670,474,samsung,131.51,white,1,22
139307,482,samsung,285.44,silver,1,11
185435,261,apple,814.64,black,0,30
195567,456,samsung,173.93,white,1,4
207034,411,samsung,196.4,silver,1,16
145766,461,oppo,179.9,silver,0,30
54807,249,apple,1210.55,blue,0,30
170376,408,xiaomi,189.97,white,1,30
166377,485,samsung,378.66,white,1,11
29457,503,huawei,107.59,white,0,30
174448,474,samsung,130.51,blue,0,30
34356,648,apple,1541.87,black,0,30
151098,408,xiaomi,197.15,white,1,10
26686,617,apple,1428.31,white,1,12
31377,22,apple,463.07,black,0,30
130171,66,apple,931.52,blue,0,30
39447,11,apple,534.04,silver,1,18
144285,230,samsung,88.79,gold,0,30
99007,474,samsung,130.99,black,1,25
206176,410,huawei,130.48,black,0,30
85084,644,apple,1634.25,silver,1,15
61354,292,apple,1273.65,white,1,24
102021,626,apple,1003.85,gold,0,30
29606,485,samsung,380.82,blue,1,2
41797,11,apple,531.29,silver,1,27
105245,482,samsung,289.52,white,1,5
197898,231,samsung,88.81,blue,0,30
115908,640,apple,1412.96,silver,1,21
158046,420,samsung,249.86,white,1,17
30931,474,samsung,131.79,silver,1,4
4565,586,xiaomi,229.49,white,1,25
50672,20,apple,460.11,white,1,15
120600,230,samsung,89.84,silver,1,6
83104,670,xiaomi,226.22,blue,0,30
32135,18,apple,462.05,silver,1,24
152955,141155,xiaomi,262.3,silver,1,27
33320,420,samsung,249.86,black,0,30
197464,387,huawei,153.86,gold,0,30
74281,56,apple,581.12,blue,0,30
209477,503,huawei,107.59,blue,0,30
210639,474,samsung,132.15,white,1,2
152510,22,apple,473.37,gold,0,30
18320,11,apple,584.31,blue,0,30
181966,617,apple,1428.31,white,1,12
67809,475,samsung,130.25,gold,1,4
155559,408,xiaomi,190.22,blue,0,30
74172,393,huawei,115.55,black,0,30
163243,590,vivo,281.58,silver,1,5
187424,612,samsung,139.75,silver,1,29
154793,459,samsung,229.39,blue,1,15
155690,474,samsung,131.76,white,1,6
88838,626,apple,1003.85,white,0,30
60189,199,xiaomi,97.79,white,1,18
114251,626,apple,1015.46,black,0,30
213124,474,samsung,131.51,black,0,30
198508,11,apple,521.25,silver,1,8
29699,11,apple,533.69,blue,1,19
4464,257,apple,760.47,silver,1,21
98550,654,apple,1559.63,blue,0,30
102634,459,samsung,223.75,blue,0,30
119577,474,samsung,130.99,white,1,25
142137,408,xiaomi,185.67,blue,0,30
193637,11,apple,513.53,blue,0,30
31504,610,samsung,143.6,gold,0,30
121968,482,samsung,285.4,gold,0,30
38098,438,xiaomi,142.86,black,0,30
18628,501,huawei,111.66,silver,1,10
170952,422,xiaomi,182.5,silver,1,26
174541,393,huawei,126.88,white,1,17
148951,461,oppo,179.28,silver,1,2
168647,11,apple,531.67,silver,1,22
147125,626,apple,1003.6,gold,0,30
122057,626,apple,967.77,silver,1,29
13769,370,samsung,770.9,blue,1,3
126720,626,apple,1003.6,blue,0,30
2696,420,samsung,250.69,gold,0,30
187521,643,apple,1413.16,silver,1,1
72284,351,huawei,165.96,silver,0,30
159951,474,samsung,131.51,silver,1,23
17447,626,apple,975.56,gold,0,30
69520,459,samsung,224.07,silver,1,23
45505,617,apple,1415.48,silver,1,5
186382,20,apple,459.61,blue,0,30
175477,474,samsung,130.99,white,1,26
173482,485,samsung,380.32,silver,1,4
157107,239,apple,1002.31,silver,0,30
141197,474,samsung,130.99,gold,0,30
128922,22,apple,461.14,black,0,30
123705,420,samsung,252.23,white,1,4
215559,372,samsung,727.69,silver,1,18
68088,484,samsung,288.01,white,1,13
6577,408,xiaomi,189.97,white,1,20
67042,377,samsung,782.26,gold,0,30
209540,406,xiaomi,188.02,white,1,10
208711,420,samsung,249.86,silver,1,17
32991,626,apple,992.05,silver,1,22
57366,249,apple,1210.07,blue,1,15
188852,420,samsung,247.52,blue,1,20
6198,67,apple,947.26,silver,1,29
183035,230,samsung,88.8,black,0,30
152325,474,samsung,131.92,black,0,30
182884,269,apple,729.32,silver,1,3
197791,27,apple,358.57,black,0,30
192234,482,samsung,286.48,silver,1,16
171828,647,apple,2053.57,gold,0,30
64007,477,samsung,170.63,blue,0,30
28448,617,apple,1415.48,black,0,30
80498,20,apple,464.08,blue,0,30
215364,408,xiaomi,189.97,black,0,30
11208,351,huawei,169.85,white,1,4
182195,350,meizu,128.45,gold,0,30
192136,643,apple,1412.29,blue,0,30
207468,428,huawei,276.71,silver,0,30
32317,408,xiaomi,190.22,silver,0,30
156682,655,apple,1732.66,gold,1,19
121155,260,apple,745.58,black,1,15
77879,462,oppo,179.92,silver,1,21
71635,230,samsung,89.84,silver,1,6
155841,474,samsung,129.99,black,1,22
15792,412,samsung,197.14,gold,0,30
76762,456,samsung,172.14,black,1,18
26401,269,apple,760.1,blue,1,13
113781,547,vivo,205.9,silver,1,3
95826,477,samsung,170.14,black,0,30
107568,476,samsung,131.53,black,0,30
4882,412,samsung,197.79,blue,0,30
117416,456,samsung,170.92,white,0,30
177824,11,apple,531.41,white,1,25
126192,461,oppo,179.21,silver,1,28
127989,474,samsung,130.99,blue,0,30
198618,377,samsung,782.26,gold,0,30
71482,626,apple,1003.6,gold,0,30
135394,626,apple,1002.77,black,0,30
167760,420,samsung,253.02,gold,0,30
60826,20,apple,459.63,blue,0,30
130010,501,huawei,111.7,silver,1,1
778,474,samsung,130.51,blue,0,30
153113,20,apple,460.51,silver,1,12
26029,260,apple,725.12,silver,0,30
161341,60,apple,696.03,blue,0,30
24422,11,apple,533.14,gold,0,30
3128,474,samsung,131.02,silver,1,21
134429,646,apple,1725.03,gold,0,30
74296,428,huawei,272.05,blue,0,30
